step,li_err, learning_rate, time_train, time_mc ,approx, reference, lr10,lr21,lr32,lr43,lr54,lr65 
 5000, 0.112510, 0.010000, 626.355136, 26.029384, 4.852416, 5.047046,  0.010000, 0.010000, 0.010000, 0.010000, 0.010000, 0.010000 
10000, 0.146959, 0.010000, 611.980096, 25.210209, 4.854046, 5.057097,  0.010000, 0.010000, 0.010000, 0.010000, 0.010000, 0.010000 
15000, 0.217653, 0.010000, 611.153993, 25.214187, 4.790176, 5.055157,  0.010000, 0.010000, 0.010000, 0.010000, 0.010000, 0.010000 
20000, 0.156691, 0.010000, 610.518153, 25.202722, 4.939554, 5.044115,  0.010000, 0.010000, 0.010000, 0.010000, 0.010000, 0.010000 
25000, 0.325045, 0.010000, 612.154391, 25.206897, 4.868841, 5.046769,  0.010000, 0.010000, 0.010000, 0.010000, 0.010000, 0.010000 
30000, 0.875561, 0.010000, 612.235624, 25.202622, 4.726291, 5.054809,  0.010000, 0.010000, 0.010000, 0.010000, 0.010000, 0.010000 
35000, 0.218626, 0.010000, 612.725895, 25.224955, 4.892664, 5.052556,  0.010000, 0.010000, 0.010000, 0.010000, 0.010000, 0.010000 
40000, 0.084085, 0.001000, 614.159206, 25.214216, 4.927955, 5.051426,  0.010000, 0.010000, 0.010000, 0.010000, 0.010000, 0.010000 
45000, 0.132422, 0.001000, 613.217148, 25.265225, 4.958783, 5.049740,  0.001000, 0.001000, 0.001000, 0.001000, 0.001000, 0.001000 
50000, 0.074904, 0.001000, 613.366680, 25.198550, 4.932812, 5.045876,  0.001000, 0.001000, 0.001000, 0.001000, 0.001000, 0.001000 
55000, 0.127445, 0.001000, 612.266371, 25.217220, 4.941235, 5.053486,  0.001000, 0.001000, 0.001000, 0.001000, 0.001000, 0.001000 
60000, 0.083832, 0.001000, 612.745803, 25.220658, 4.884576, 5.057745,  0.001000, 0.001000, 0.001000, 0.001000, 0.001000, 0.001000 
65000, 0.075233, 0.001000, 613.517115, 25.214519, 4.900418, 5.054256,  0.001000, 0.001000, 0.001000, 0.001000, 0.001000, 0.001000 
70000, 0.059036, 0.001000, 612.955441, 25.217950, 4.886078, 5.057352,  0.001000, 0.001000, 0.001000, 0.001000, 0.001000, 0.001000 
75000, 0.128464, 0.001000, 613.225923, 25.223758, 4.927093, 5.044910,  0.001000, 0.001000, 0.001000, 0.001000, 0.001000, 0.001000 
80000, 0.031482, 0.000100, 614.006948, 25.221169, 4.911131, 5.049926,  0.001000, 0.001000, 0.001000, 0.001000, 0.001000, 0.001000 
85000, 0.019577, 0.000100, 613.722559, 25.216858, 4.894051, 5.055033,  0.000100, 0.000100, 0.000100, 0.000100, 0.000100, 0.000100 
90000, 0.022537, 0.000100, 613.262478, 25.217173, 4.894928, 5.047867,  0.000100, 0.000100, 0.000100, 0.000100, 0.000100, 0.000100 
95000, 0.013058, 0.000100, 613.997047, 25.220385, 4.896000, 5.052114,  0.000100, 0.000100, 0.000100, 0.000100, 0.000100, 0.000100 
100000, 0.015321, 0.000100, 613.830790, 25.233722, 4.898857, 5.049371,  0.000100, 0.000100, 0.000100, 0.000100, 0.000100, 0.000100 
105000, 0.018787, 0.000100, 613.393832, 25.214508, 4.898402, 5.047006,  0.000100, 0.000100, 0.000100, 0.000100, 0.000100, 0.000100 
110000, 0.017714, 0.000100, 614.072983, 25.217247, 4.891996, 5.052056,  0.000100, 0.000100, 0.000100, 0.000100, 0.000100, 0.000100 
115000, 0.026411, 0.000100, 613.939576, 25.219885, 4.899635, 5.053020,  0.000100, 0.000100, 0.000100, 0.000100, 0.000100, 0.000100 
120000, 0.023705, 0.000010, 613.348314, 25.223263, 4.902532, 5.054777,  0.000100, 0.000100, 0.000100, 0.000100, 0.000100, 0.000100 
125000, 0.015918, 0.000010, 613.026488, 25.211030, 4.898466, 5.055686,  0.000010, 0.000010, 0.000010, 0.000010, 0.000010, 0.000010 
130000, 0.011552, 0.000010, 612.460691, 25.207425, 4.899850, 5.054949,  0.000010, 0.000010, 0.000010, 0.000010, 0.000010, 0.000010 
135000, 0.009389, 0.000010, 612.275900, 25.223360, 4.894697, 5.047005,  0.000010, 0.000010, 0.000010, 0.000010, 0.000010, 0.000010 
140000, 0.013790, 0.000010, 611.895339, 25.197673, 4.899227, 5.053945,  0.000010, 0.000010, 0.000010, 0.000010, 0.000010, 0.000010 
145000, 0.012159, 0.000010, 611.543031, 25.193413, 4.898046, 5.052385,  0.000010, 0.000010, 0.000010, 0.000010, 0.000010, 0.000010 
150000, 0.012841, 0.000010, 612.078160, 25.204068, 4.897899, 5.053700,  0.000010, 0.000010, 0.000010, 0.000010, 0.000010, 0.000010 
