step, li_err, learning_rate, time_train, time_test 
 0, 17.622187, 0.010000, 0.574881, 0.456464 
5000, 0.396042, 0.010000, 86.460576, 0.363300 
10000, 0.182692, 0.010000, 86.177276, 0.348463 
15000, 0.257072, 0.010000, 86.136411, 0.354824 
20000, 0.106003, 0.010000, 85.980547, 0.349332 
25000, 0.120405, 0.010000, 86.104372, 0.352198 
30000, 0.139290, 0.010000, 86.094914, 0.362710 
35000, 0.076717, 0.010000, 86.080726, 0.360321 
40000, 0.145630, 0.001000, 86.123027, 0.364371 
45000, 0.046919, 0.001000, 86.102090, 0.354356 
50000, 0.045968, 0.001000, 86.092640, 0.352424 
55000, 0.040837, 0.001000, 86.028362, 0.351274 
60000, 0.049872, 0.001000, 86.068404, 0.350234 
65000, 0.036453, 0.001000, 86.022816, 0.354018 
70000, 0.051929, 0.001000, 86.014500, 0.354482 
75000, 0.053645, 0.001000, 86.085668, 0.355705 
80000, 0.047081, 0.000100, 86.301904, 0.353077 
85000, 0.035900, 0.000100, 86.063073, 0.355093 
90000, 0.030104, 0.000100, 86.057320, 0.352138 
95000, 0.027840, 0.000100, 86.052089, 0.354182 
100000, 0.031853, 0.000100, 86.069777, 0.365488 
105000, 0.028427, 0.000100, 86.054589, 0.356112 
110000, 0.026781, 0.000100, 86.115030, 0.354193 
115000, 0.030630, 0.000100, 86.223021, 0.352761 
120000, 0.029291, 0.000010, 86.126964, 0.358479 
125000, 0.028863, 0.000010, 86.158514, 0.358176 
130000, 0.028150, 0.000010, 86.091771, 0.355643 
135000, 0.029409, 0.000010, 86.109106, 0.366899 
140000, 0.027259, 0.000010, 86.126756, 0.350912 
145000, 0.029033, 0.000010, 86.238802, 0.366416 
150000, 0.026596, 0.000010, 86.283319, 0.348457 
